timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1654010453436,6399,https://localhost:44339/listings/geojson,200,OK,parallel bzm - Parallel Controller,text,true,,1219276,136,3,113,https://localhost:44339/listings/geojson,,6329,utf-8,1,0,patrick,0,47
1654010453155,6735,https://localhost:44339/listings/geojson,200,OK,parallel bzm - Parallel Controller,text,true,,1219276,136,3,113,https://localhost:44339/listings/geojson,,6659,utf-8,1,0,patrick,0,12
1654010445743,14228,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,113,https://localhost:44339/listings,,11405,utf-8,1,0,patrick,0,14
1654010447242,12730,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,113,https://localhost:44339/listings,,9650,utf-8,1,0,patrick,0,13
1654010452488,7655,https://localhost:44339/graph/neighbourhoods,200,OK,parallel bzm - Parallel Controller,text,true,,731,140,2,111,https://localhost:44339/graph/neighbourhoods,,7655,utf-8,1,0,patrick,0,10
1654010452478,7680,https://localhost:44339/graph/neighbourhoods,200,OK,parallel bzm - Parallel Controller,text,true,,731,140,2,111,https://localhost:44339/graph/neighbourhoods,,7680,utf-8,1,0,patrick,0,14
1654010453252,7027,https://localhost:44339/listings/geojson,200,OK,parallel bzm - Parallel Controller,text,true,,1219276,136,3,111,https://localhost:44339/listings/geojson,,6900,utf-8,1,0,patrick,0,18
1654010446651,13634,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,111,https://localhost:44339/listings,,10587,utf-8,1,0,patrick,0,15
1654010453330,6992,https://localhost:44339/listings/geojson,200,OK,parallel bzm - Parallel Controller,text,true,,1219276,136,3,110,https://localhost:44339/listings/geojson,,6939,utf-8,1,0,patrick,0,20
1654010453510,6814,https://localhost:44339/listings/geojson,200,OK,parallel bzm - Parallel Controller,text,true,,1219276,136,3,110,https://localhost:44339/listings/geojson,,6765,utf-8,1,0,patrick,0,31
1654010452576,7886,https://localhost:44339/graph/neighbourhoods,200,OK,parallel bzm - Parallel Controller,text,true,,731,140,2,110,https://localhost:44339/graph/neighbourhoods,,7886,utf-8,1,0,patrick,0,11
1654010453573,6897,https://localhost:44339/listings/geojson,200,OK,parallel bzm - Parallel Controller,text,true,,1219276,136,3,110,https://localhost:44339/listings/geojson,,6696,utf-8,1,0,patrick,0,8
1654010452656,7907,https://localhost:44339/graph/neighbourhoods,200,OK,parallel bzm - Parallel Controller,text,true,,731,140,2,110,https://localhost:44339/graph/neighbourhoods,,7907,utf-8,1,0,patrick,0,10
1654010452732,8203,https://localhost:44339/graph/neighbourhoods,200,OK,parallel bzm - Parallel Controller,text,true,,731,140,2,110,https://localhost:44339/graph/neighbourhoods,,8203,utf-8,1,0,patrick,0,10
1654010453011,8260,https://localhost:44339/graph/neighbourhoods,200,OK,parallel bzm - Parallel Controller,text,true,,731,140,2,110,https://localhost:44339/graph/neighbourhoods,,8260,utf-8,1,0,patrick,0,12
1654010445371,15914,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,110,https://localhost:44339/listings,,12161,utf-8,1,0,patrick,0,13
1654010448413,12910,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,109,https://localhost:44339/listings,,9093,utf-8,1,0,patrick,0,38
1654010442689,18693,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,108,https://localhost:44339/listings,,14665,utf-8,1,0,patrick,0,19
1654010444365,17020,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,107,https://localhost:44339/listings,,14428,utf-8,1,0,patrick,0,20
1654010452836,8601,https://localhost:44339/graph/neighbourhoods,200,OK,parallel bzm - Parallel Controller,text,true,,731,140,2,106,https://localhost:44339/graph/neighbourhoods,,8601,utf-8,1,0,patrick,0,28
1654010448827,12635,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,106,https://localhost:44339/listings,,9972,utf-8,1,0,patrick,0,13
1654010443810,17828,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,105,https://localhost:44339/listings,,14965,utf-8,1,0,patrick,0,10
1654010445106,16579,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,104,https://localhost:44339/listings,,13999,utf-8,1,0,patrick,0,13
1654010447489,14228,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,103,https://localhost:44339/listings,,11299,utf-8,1,0,patrick,0,12
1654010445279,16523,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,102,https://localhost:44339/listings,,14283,utf-8,1,0,patrick,0,21
1654010446491,15383,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,101,https://localhost:44339/listings,,13359,utf-8,1,0,patrick,0,10
1654010453158,8825,https://localhost:44339/graph/neighbourhoods,200,OK,parallel bzm - Parallel Controller,text,true,,731,140,2,100,https://localhost:44339/graph/neighbourhoods,,8825,utf-8,1,0,patrick,0,17
1654010453077,8906,https://localhost:44339/graph/neighbourhoods,200,OK,parallel bzm - Parallel Controller,text,true,,731,140,2,100,https://localhost:44339/graph/neighbourhoods,,8906,utf-8,1,0,patrick,0,19
1654010452922,9081,https://localhost:44339/graph/neighbourhoods,200,OK,parallel bzm - Parallel Controller,text,true,,731,140,2,100,https://localhost:44339/graph/neighbourhoods,,9081,utf-8,1,0,patrick,0,34
1654010449234,12963,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,100,https://localhost:44339/listings,,11752,utf-8,1,0,patrick,0,12
1654010446569,15665,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,99,https://localhost:44339/listings,,10973,utf-8,1,0,patrick,0,16
