timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1654010100518,687,https://localhost:44339/listings/geojson,200,OK,parallel bzm - Parallel Controller,text,true,,1219276,136,3,64,https://localhost:44339/listings/geojson,,356,utf-8,1,0,patrick,0,16
1654010100719,494,https://localhost:44339/listings/geojson,200,OK,parallel bzm - Parallel Controller,text,true,,1219276,136,3,65,https://localhost:44339/listings/geojson,,460,utf-8,1,0,patrick,0,14
1654010095308,5907,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,64,https://localhost:44339/listings,,4295,utf-8,1,0,patrick,0,14
1654010100610,618,https://localhost:44339/listings/geojson,200,OK,parallel bzm - Parallel Controller,text,true,,1219276,136,3,64,https://localhost:44339/listings/geojson,,582,utf-8,1,0,patrick,0,13
1654010101223,20,https://localhost:44339/listings/id/23601178,200,OK,parallel bzm - Parallel Controller,text,true,,1455,149,4,64,https://localhost:44339/listings/listings/id/23601178,,20,ISO-8859-1,1,0,patrick,0,16
1654010094515,6739,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,64,https://localhost:44339/listings,,5124,utf-8,1,0,patrick,0,17
1654010100130,1240,https://localhost:44339/graph/neighbourhoods,200,OK,parallel bzm - Parallel Controller,text,true,,731,140,2,64,https://localhost:44339/graph/neighbourhoods,,1240,utf-8,1,0,patrick,0,44
1654010099815,1566,https://localhost:44339/graph/neighbourhoods,200,OK,parallel bzm - Parallel Controller,text,true,,731,140,2,64,https://localhost:44339/graph/neighbourhoods,,1566,utf-8,1,0,patrick,0,16
1654010101317,86,https://localhost:44339/listings/id/23601178,200,OK,parallel bzm - Parallel Controller,text,true,,1455,149,4,64,https://localhost:44339/listings/listings/id/23601178,,86,ISO-8859-1,1,0,patrick,0,19
1654010100207,1235,https://localhost:44339/graph/neighbourhoods,200,OK,parallel bzm - Parallel Controller,text,true,,731,140,2,65,https://localhost:44339/graph/neighbourhoods,,1235,utf-8,1,0,patrick,0,25
1654010099918,1530,https://localhost:44339/graph/neighbourhoods,200,OK,parallel bzm - Parallel Controller,text,true,,731,140,2,65,https://localhost:44339/graph/neighbourhoods,,1530,utf-8,1,0,patrick,0,13
1654010101410,47,https://localhost:44339/listings/id/23601178,200,OK,parallel bzm - Parallel Controller,text,true,,1455,149,4,65,https://localhost:44339/listings/listings/id/23601178,,47,ISO-8859-1,1,0,patrick,0,10
1654010099708,1759,https://localhost:44339/graph/neighbourhoods,200,OK,parallel bzm - Parallel Controller,text,true,,731,140,2,65,https://localhost:44339/graph/neighbourhoods,,1759,utf-8,1,0,patrick,0,24
1654010100020,1460,https://localhost:44339/graph/neighbourhoods,200,OK,parallel bzm - Parallel Controller,text,true,,731,140,2,65,https://localhost:44339/graph/neighbourhoods,,1460,utf-8,1,0,patrick,0,16
1654010100456,1035,https://localhost:44339/graph/neighbourhoods,200,OK,parallel bzm - Parallel Controller,text,true,,731,140,2,65,https://localhost:44339/graph/neighbourhoods,,1035,utf-8,1,0,patrick,0,13
1654010100610,945,https://localhost:44339/graph/neighbourhoods,200,OK,parallel bzm - Parallel Controller,text,true,,731,140,2,66,https://localhost:44339/graph/neighbourhoods,,945,utf-8,1,0,patrick,0,15
1654010101522,35,https://localhost:44339/listings/id/23601178,200,OK,parallel bzm - Parallel Controller,text,true,,1455,149,4,66,https://localhost:44339/listings/listings/id/23601178,,35,ISO-8859-1,1,0,patrick,0,21
1654010100814,799,https://localhost:44339/listings/geojson,200,OK,parallel bzm - Parallel Controller,text,true,,1219276,136,3,66,https://localhost:44339/listings/geojson,,716,utf-8,1,0,patrick,0,14
1654010101019,602,https://localhost:44339/listings/geojson,200,OK,parallel bzm - Parallel Controller,text,true,,1219276,136,3,67,https://localhost:44339/listings/geojson,,435,utf-8,1,0,patrick,0,132
1654010101225,398,https://localhost:44339/listings/geojson,200,OK,parallel bzm - Parallel Controller,text,true,,1219276,136,3,67,https://localhost:44339/listings/geojson,,333,utf-8,1,0,patrick,0,16
1654010100908,715,https://localhost:44339/listings/geojson,200,OK,parallel bzm - Parallel Controller,text,true,,1219276,136,3,67,https://localhost:44339/listings/geojson,,630,utf-8,1,0,patrick,0,14
1654010101152,472,https://localhost:44339/listings/geojson,200,OK,parallel bzm - Parallel Controller,text,true,,1219276,136,3,67,https://localhost:44339/listings/geojson,,199,utf-8,1,0,patrick,0,23
1654010101617,36,https://localhost:44339/listings/id/23601178,200,OK,parallel bzm - Parallel Controller,text,true,,1455,149,4,67,https://localhost:44339/listings/listings/id/23601178,,35,ISO-8859-1,1,0,patrick,0,24
